"cz","Name","Household_Income_for_Immigrants_rP_gP_pall"
"cz34901","Albuquerque, NM",40063
"cz1400","Fayetteville, NC",39966
"cz10000","Panama City, FL",39966
"cz9200","Griffin, GA",39864
"cz24801","Jacksonville, IL",39730
"cz15600","Wheeling, OH & WV",39723
"cz32301","San Angelo, TX",39689
"cz10302","Dothan, AL",39681
"cz32801","Waco, TX",39572
"cz8201","Barnwell, SC",39533
"cz31002","Ulysses, KS",39371
"cz7200","Cape Coral, FL",39366
"cz6800","Lakeland, FL",39357
"cz31502","Pearsall, TX",39329
"cz5900","Clarksville, KY & TN",39209
"cz27701","Scottsbluff, NE",39162
"cz7400","Orlando, FL",39098
"cz37200","Fresno, CA",39082
"cz601","North Wilkesboro, NC",39065
"cz30000","Russellville, AR",39032
"cz34001","Hot Springs, AR",39017
"cz5000","Tupelo, MS",38995
"cz8701","Hinesville, GA",38879
"cz27601","Rapid City, SD",38799
"cz28702","Glenwood Springs, CO",38707
"cz35802","Ontario, ID & OR",38664
"cz1002","Morganton, NC",38654
"cz30601","El Paso, NM & TX",38603
"cz29504","Sedalia, MO",38467
"cz9001","Vidalia, GA",38282
"cz31302","Beeville, TX",38257
"cz32701","Brownwood, TX",38208
"cz6600","Rome, AL & GA",38118
"cz30602","Alamogordo, NM",38097
"cz6302","Cookeville, TN",38070
"cz31600","Brownsville, TX",38018
"cz5100","Corinth, MS & TN",38000
"cz27202","Worthington, IA & MN",37859
"cz10200","Albany, GA",37688
"cz25900","Jonesboro, AR",37625
"cz29203","Manhattan, KS",37577
"cz9400","Gainesville, GA",37455
"cz10400","Meridian, MS",37376
"cz7800","Ocala, FL",37251
"cz35100","Tucson, AZ",37196
"cz1100","Hickory, NC",37180
"cz2100","Washington, NC",37169
"cz38100","Yuma, AZ & CA",37151
"cz31503","Laredo, TX",37133
"cz32304","Uvalde, TX",37062
"cz3101","McComb, MS",37025
"cz5500","Columbia, TN",37010
"cz30902","Littlefield, TX",36942
"cz25104","Heber Springs, AR",36912
"cz31202","Burnet, TX",36786
"cz36403","Soda Springs, ID",36736
"cz38802","The Dalles, OR & WA",36687
"cz8601","Waycross, GA",36616
"cz29302","Newton, KS",36609
"cz29800","Aurora, MO",36563
"cz29402","Emporia, KS",36521
"cz34404","Butte-Silver Bow, MT",36334
"cz12600","Wayne, IN",36188
"cz32403","Snyder, TX",36108
"cz26106","Centerville, IA",36063
"cz33902","Sherman, OK & TX",35690
"cz32802","Corsicana, TX",35550
"cz21202","Redwood Falls, MN",35469
"cz4602","Somerset, KY & TN",35328
"cz4902","Dyersburg, TN",35215
"cz32202","Nacogdoches, TX",35144
"cz11403","Sault Ste. Marie, MI",34622
"cz30604","Deming, NM",34378
"cz1600","Wilson, NC",34367
"cz31501","Crystal City, TX",34329
"cz14802","Vincennes, IL & IN",34274
"cz27302","Fairmont, IA & MN",33870
"cz32503","Haskell, TX",33311
"cz31303","Kerrville, TX",33291
"cz32302","Brady, TX",33058
"cz34805","Alamosa, CO",32918
"cz32402","Sweetwater, TX",32732
"cz12502","Washington Court House, OH",32493
"cz28609","Lexington, NE",32436
"cz30908","Plainview, TX",32100
"cz30605","Van Horn, TX",31774
"cz35002","Safford, AZ",31020
"cz10102","Thomasville, GA",30597
"cz29902","Center, MO",29695
"cz402","Martinsville, VA",29637
"cz10501","Columbus, AL & MS",29037
"cz34108","Kodiak, AK",28379
"cz27006","Mitchell, SD",
"cz27603","Southwest Jackson UT, SD",
"cz26604","Mobridge, SD",
"cz26408","Glasgow, MT",
"cz34202","Shelby, MT",
"cz27004","Winner, SD",
"cz26301","Devils Lake, ND",
"cz26406","Wolf Point, MT",
"cz34107","Dillingham, AK",
"cz27011","Pierre, SD",
"cz26603","East Corson UT, ND & SD",
"cz27605","Mission, SD",
"cz34112","Bethel, AK",
"cz26602","Sisseton, SD",
"cz27704","Gordon, NE & SD",
"cz34303","Riverton, WY",
"cz27602","Eagle Butte, SD",
"cz26504","Watertown, SD",
"cz29201","Hiawatha, KS",
"cz27008","Parkston, SD",
"cz28002","West Point, NE",
"cz34307","Colstrip, MT",
"cz34201","Havre, MT",
"cz1301","Bennettsville, SC",
"cz26303","Turtle Mountain UT, ND",
"cz11002","Atmore, AL",
"cz26411","Sidney, MT & ND",
"cz34105","Kotzebue, AK",
"cz27009","Chamberlain, SD",
"cz26410","Dickinson, ND",
"cz34106","Nome, AK",
"cz34101","Sand Point, AK",
"cz26803","Jamestown, ND",
"cz34103","Valdez, AK",
"cz4004","Many, LA",
"cz34113","Barrow, AK",
"cz26402","Baker, MT",
"cz31304","Mason, TX",
"cz27902","York, NE",
"cz26003","West Cook UT, MN",
"cz19903","Chincoteague, VA",
"cz35202","Gunnison, CO",
"cz1201","Franklin, GA & NC",
"cz34104","Bristol Bay, AK",
"cz29002","Coldwater, KS",
"cz30907","Matador, TX",
"cz34114","Unalaska, AK",
"cz29102","Superior, NE",
"cz26204","Steele, ND",
"cz34302","Worland, WY",
"cz26403","Bowman, ND",
"cz27007","Huron, SD",
"cz35904","Richfield, UT",
"cz27012","Gettysburg, SD",
"cz39204","Condon, OR",
"cz28607","McCook, NE",
"cz4501","West Liberty, KY",
"cz37902","Reno, NV",
"cz13102","Madison, IN & KY",
"cz30906","Memphis, TX",
"cz10802","Demopolis, AL",
"cz26601","Milbank, MN & SD",
"cz26409","Glendive, MT & ND",
"cz30905","Wellington, TX",
"cz35903","Moab, UT",
"cz36302","Salmon, ID",
"cz11203","Big Stone Gap, VA",
"cz26401","Ekalaka, MT & SD",
